"","Player","Age","Pos","Tgt","Rec","Yds","X1D","YBC","YAC","ADOT","BrkTkl","Succ.","TD","YBC_R","YAC_R","Rec_Brk"
"285","Jonathan Mingo",23,"WR",16,5,46,2,43,3,13.3,0,30.8,0,8.6,0.6,Inf
"286","Jonathan Mingo",23,"WR",16,5,46,2,43,3,13.3,0,25,0,8.6,0.6,Inf
"287","Emari Demercado",25,"RB",20,16,104,3,9,95,1.3,1,35,0,0.6,5.9,16
"288","Kenneth Gainwell",25,"RB",22,16,116,5,8,108,1,4,40.9,0,0.5,6.8,4
"289","Roschon Johnson",23,"RB",20,16,104,6,8,96,0.6,4,40,0,0.5,6,4
"290","Trey Sermon",25,"RB",19,16,99,3,0,99,0.3,1,31.6,0,0,6.2,16
"291","Stone Smartt",26,"TE",19,16,208,11,142,66,10.1,0,68.4,0,8.9,4.1,Inf
"292","DJ Turner",27,"WR",29,16,158,9,75,83,8.8,2,37.9,1,4.7,5.2,8
"293","Isaac Guerendo",24,"RB",16,15,152,7,45,107,3.1,1,56.3,0,3,7.1,15
"294","Christian McCaffrey",28,"RB",19,15,146,6,48,98,3.2,1,52.6,0,3.2,6.5,15
"295","Cade Stover",24,"TE",22,15,133,5,39,94,5.4,2,40.9,1,2.6,6.3,7.5
"296","Nate Adkins",25,"TE",15,14,115,6,39,76,4.1,1,73.3,3,2.8,5.4,14
"297","Nelson Agholor",31,"WR",29,14,231,10,146,85,13.4,1,37.9,2,10.4,6.1,14
"298","Daniel Bellinger",24,"TE",17,14,125,8,72,53,5.1,0,64.7,0,5.1,3.8,Inf
"299","Kylen Granson",26,"TE",31,14,182,8,73,109,11.3,0,38.7,0,5.2,7.8,Inf
"300","Pierre Strong",26,"RB",22,14,104,3,-19,123,0.3,2,22.7,0,-1.4,8.8,7
"301","Mason Tipton",24,"WR",26,14,99,2,72,27,12.4,1,26.9,0,5.1,1.9,14
"302","Cam Akers",25,"RB",18,14,68,4,-15,83,-1.5,0,33.3,3,-1.1,5.9,Inf
"303","Cam Akers",25,"RB",18,14,68,4,-15,83,-1.5,0,14.3,1,-1.1,5.9,Inf
"304","Cam Akers",25,"RB",18,14,68,4,-15,83,-1.5,0,45.5,2,-1.1,5.9,Inf
"305","Cam Akers",25,"RB",7,4,16,1,5,11,-0.6,0,33.3,3,1.2,2.8,Inf
"306","Cam Akers",25,"RB",7,4,16,1,5,11,-0.6,0,14.3,1,1.2,2.8,Inf
"307","Cam Akers",25,"RB",7,4,16,1,5,11,-0.6,0,45.5,2,1.2,2.8,Inf
"308","Cam Akers",25,"RB",11,10,52,3,-20,72,-2.1,0,33.3,3,-2,7.2,Inf
"309","Cam Akers",25,"RB",11,10,52,3,-20,72,-2.1,0,14.3,1,-2,7.2,Inf
"310","Cam Akers",25,"RB",11,10,52,3,-20,72,-2.1,0,45.5,2,-2,7.2,Inf
"311","Tyler Allgeier",24,"RB",13,13,88,2,-5,93,-0.4,2,46.2,0,-0.4,7.2,6.5
"312","Jake Bobo",26,"WR",17,13,107,8,80,27,8.1,0,58.8,1,6.2,2.1,Inf
"313","Derius Davis",24,"WR",17,13,112,5,-7,119,3.8,1,52.9,2,-0.5,9.2,13
"314","Adam Trautman",27,"TE",22,13,188,8,90,98,5.5,0,40.9,2,6.9,7.5,Inf
